Position,Move,Depth,Score
r2k1b2/pppq1bpp/2n1ppn1/8/3P4/2N1BPN1/PPP2QPP/R2KR3 b KQq - 6 11,c6d4,16,102
rk5q/ppp1p3/4Q2b/1B2P2p/3n1P2/6P1/PPP4P/2KRB1N1 w q - 4 17,d1d4,10,5434
1r1kr1bb/1pp4p/p1q1p1p1/2N5/8/3P2P1/1PP5/R1QKR1B1 w Kkq - 0 16,c5e4,16,-176
5rkb/1r1q1p1p/1p4pP/p1pp4/4QP2/P2P2P1/1PP2B2/1R3RK1 w - - 0 26,e4f3,19,11
bbrnkrnq/ppp1pppp/8/3p4/8/1P3N2/P1PPPPPP/BBRNKR1Q b KQkq - 0 2,c7c5,19,5
8/5ppk/2Q4p/5b2/8/1PP5/P5P1/6K1 b - - 0 44,f5b1,8,7080
8/7p/1p3kp1/p7/4Q3/1P3pP1/P4B1P/6K1 w - - 0 33,e4e8,5,#+6
1b1rkn1r/p3p1pp/1p1nqp2/8/2PPb3/3BN3/P4PPP/B1NRKQ1R w KQkq - 4 10,f1e2,19,32
qbrnk2r/ppp2bpp/3p1pn1/4p3/2PPP3/1P3P2/P5PP/QBRNKNBR w KQkq - 1 6,d4d5,19,99
1r3k2/6np/2p5/1n1p2p1/3Pp1P1/1P2P1NB/1K5P/3R4 b - - 2 33,f8e7,19,-7
2kr2r1/pbpp3p/1p1n2p1/3P1p2/2P1q3/1B6/PKN2PPP/R3Q1R1 w - - 1 18,e1c3,13,-203
